au,af,ti,ab,so,py,vl,is,de,id,nr,tc,z9,u1,u2,pu,pi,pa,sn,ei,bn,j9,ji,pd,di,ga,ut,ty,cy
"Biggs, M","Biggs, M",Strikes as forest fires: Chicago and Paris in the late nineteenth century,"Historians have persistently likened strike waves to wildfires, avalanches, and epidemics. These phenomena are characterized by a power-law distribution of event sizes. This kind of analysis is applied to outbreaks of class conflict in Chicago from 1881 to 1886. Events are defined as individual strikes or miniature strike waves; size is measured by the number of establishments or workers involved. In each case, events follow a power law spanning two or three orders of magnitude. A similar pattern is found for strikes in Paris from 1890 to 1899. The ""forest fire"" model serves to illustrate the kind of process that can generate this distribution.",AMERICAN JOURNAL OF SOCIOLOGY,2005,110,,,SELF-ORGANIZED CRITICALITY; UNITED-STATES; COLLECTIVE BEHAVIOR; THRESHOLD MODELS; SOCIAL-MOVEMENTS; NATURAL HAZARDS; CLASS ALLIANCE; DIFFUSION; LABOR; NETWORKS,,34,34,1,14,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,,,AM J SOCIOL,Am. J. Sociol.,MAY,10.1086/427675,943BU,WOS:000230327600004,13,2.6153846
"Kay, T","Kay, T",Labor transnationalism and global governance: The impact of NAFTA on transnational Labor relationships in North America,"This article examines how the North American Free Trade Agreement (NAFTA) catalyzed cross- border labor cooperation and collaboration (i. e., labor transnationalism), by creating a new political opportunity structure at the transnational level. Because there are differences in the way power is constituted at the transnational and national levels, theories of national political opportunity structures cannot be directly mapped onto the transnational level. The author describes three primary dimensions of political opportunity structure at the transnational level that explain how power is established: (1) the constitution of transnational actors and interests, (2) the definition and recognition of transnational rights, and (3) adjudication at the transnational level. The case of NAFTA suggests that while the emergence of national social movements requires nation-states, global governance institutions can play a pivotal role in the development of transnational social movements.",AMERICAN JOURNAL OF SOCIOLOGY,2005,111,,,INTERNATIONALISM; GLOBALIZATION; PERSPECTIVE,,72,72,0,11,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,1537-5390,,AM J SOCIOL,Am. J. Sociol.,NOV,10.1086/497305,010RU,WOS:000235214100002,13,5.5384617
"Sampson, RJ; McAdam, D; MacIndoe, H; Weffer-Elizondo, S","Sampson, RJ; McAdam, D; MacIndoe, H; Weffer-Elizondo, S",Civil society reconsidered: The durable nature and community structure of collective civic action,"This article develops a conceptual framework on civil society that shifts the dominant focus on individuals to collective action events civic and protest alike - that bring people together in public to realize a common purpose. Analyzing over 4,000 events in the Chicago area from 1970 to 2000, the authors find that while civic engagement is durable overall, "" sixties- style"" protest declines, and hybrid events that combine public claims making with civic forms of behavior what they call "" blended social action"" - increase. Furthermore, dense social ties, group memberships, and neighborly exchange do not predict community variations in collective action. The density of nonprofit organizations matters instead, suggesting that declines in traditional social capital may not be as consequential for civic capacity as commonly thought.",AMERICAN JOURNAL OF SOCIOLOGY,2005,111,,,US PRESIDENTIAL ELECTIONS; LOCAL NEWSPAPER COVERAGE; SOCIAL-MOVEMENT; SELECTION BIAS; EVENTS; VOLUNTARY; ORGANIZATIONS; PARTICIPATION; NEIGHBORHOODS; CONFLICT,,160,161,4,75,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,1537-5390,,AM J SOCIOL,Am. J. Sociol.,NOV,10.1086/497351,010RU,WOS:000235214100001,13,12.384615
"Amenta, E; Caren, N; Olasky, SJ","Amenta, E; Caren, N; Olasky, SJ",Age for leisure? Political mediation and the impact of the pension movement on US old-age policy,"This article elaborates a political mediation theory of the impact of social movements on states and policy, positing that the influence of mobilization and specific strategies of collective action depends on specified political contexts and the type of influence sought. Examining the influence of the US. old-age pension movement, which involved millions of people, this article appraises the mediation model using state-level data from the 1930s and 1940s on Old Age Assistance-the main support for the aged at the time-and a Senate vote for generous senior citizens' pensions in 1939. Our models control for other potential influences, notably public opinion, which is often ignored in empirical studies and sometimes claimed to be responsible for causal influence mistakenly attributed to challengers. We employ pooled cross-sectional and time series analyses and fuzzy set qualitative comparative analysis (FSQCA), which is especially suited to appraising the combinational expectations of the political mediation model. Both sets of analyses show that the pension movement was directly influential on the outcomes and provide support for the political mediation arguments.",AMERICAN SOCIOLOGICAL REVIEW,2005,70,,,SOCIAL-POLICY; STATES; OPPORTUNITIES; ORGANIZATION; INSURGENCY; PROTEST,,103,104,2,46,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0003-1224,,,AM SOCIOL REV,Am. Sociol. Rev.,JUN,10.1177/000312240507000308,945VF,WOS:000230529700008,13,8
"Frickel, S; Gross, N","Frickel, S; Gross, N",A general theory of scientific/intellectual movements,"The histories of all modern scientific and intellectual fields are marked by dynamism. Yet, despite a welter of case study data, sociologists of ideas have been slow to develop general theories for explaining why and how disciplines, subfields, theory groups, bandwagons, actor networks, and other kindred formations arise to alter the intellectual landscape. To fill this lacuna, this article presents a general theory of scientific/intellectual movements (SIMs). The theory synthesizes work in the sociology of ideas, social studies of science, and the literature on social movements to explain the dynamics of SIMs, which the authors take to be central mechanisms for change in the world of knowledge and ideas, Illustrating their arguments with a diverse sampling of positive and negative cases, they, define SIMs, identify a set of theoretical presuppositions, and offer four general propositions for explaining the social conditions under which SIMs are most likely to emerge, gain prestige, and achieve some level of institutional stability.",AMERICAN SOCIOLOGICAL REVIEW,2005,70,,,SOCIAL-MOVEMENTS; POLITICAL OPPORTUNITY; BOUNDARY-WORK; SOCIOLOGY; SCIENCE; KNOWLEDGE; DISCIPLINE; AMERICAN; BIOLOGY; LEGITIMATION,,188,191,6,69,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0003-1224,,,AM SOCIOL REV,Am. Sociol. Rev.,APR,10.1177/000312240507000202,928XJ,WOS:000229304800002,13,14.692307
"Vliegenthart, R; Oegema, D; Klandermans, B","Vliegenthart, R; Oegema, D; Klandermans, B",Media coverage and organizational support in the Dutch environmental movement,"Though social movement organizations (SMOs) depend heavily upon the media for their communication to the public, little is known about the relationships between media coverage and public support for SMOs. This research uses computer-assisted content analysis to assess the relationship between media coverage and membership figures for Dutch environmental organizations over the period 1991-2003. Our analysis provides evidence for direct influence of visibility of the organization and its main issue on membership support, while membership support does not influence visibility of an SMO and its issue. Furthermore, an SMO's media visibility is negatively affected by the visibility of other SMOs within the same sector. These results point to the necessity for SMOs to compete for attention in the public sphere and to the importance of using various strategies to compete for the limited space available in the media.",MOBILIZATION,2005,10,,,PUBLIC SPHERE; MASS-MEDIA; GERMAN; NEWS; MOBILIZATION; VIOLENCE; PROTEST; EVENTS,,34,34,0,25,"SAN DIEGO STATE UNIV, DEPT SOCIOLOGY",SAN DIEGO,"5500 CAMPANILE DR, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,OCT,,991EY,WOS:000233796300004,13,2.6153846
"Andrews, KT; Edwards, B","Andrews, KT; Edwards, B",The organizational structure of local environmentalism,"Based on a survey of the population of local environmental organizations in North Carolina, this article addresses fundamental questions about how local organizations are structured, their orientation toward strategy and social change, their activities, and their perceived impacts. By comparing subsets of local organizations in terms of their geographic scope, degree of professionalization, and tactical repertoires, we identify important patterns. First, locally oriented organizations that focus on a neighborhood, city, or county are more likely to be affiliated with a national organization than regional or state organizations, but they are less likely to participate in coalitions than groups working at the regional or state level. Second, organizations relying on a mixture of volunteers and professionals are more formalized and report higher levels of success at mobilizing people than those that rely exclusively on volunteers or professionals. However, groups that are volunteer-based are more likely to engage in partisan activity and have diverse environmental philosophies, but less likely to use conventional advocacy tactics like lobbying and less likely to have a nonprofit tax status. Finally, organizations engaging in disruptive and routinized protest strategies tend to be more similar to one another than they are to organizations that rely exclusively on moderate tactical repertoires such as lobbying or environmental education.",MOBILIZATION,2005,10,,,SOCIAL-MOVEMENT ORGANIZATIONS; CIVIL-RIGHTS-MOVEMENT; RESOURCE MOBILIZATION; NEWSPAPER COVERAGE; POLITICAL-PROCESS; SELECTION BIAS; ROOTS; MISSISSIPPI; STRATEGY; PROTEST,,65,66,0,31,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,991EX,WOS:000233796200002,13,5.0769229
"Tarrow, S","Tarrow, S","The dualities of transnational contention: ""Two activist solitudes"" or a new world altogether?","International protests against global capitalism have focused scholars' attention on the highly visible activities of transnational activists and advocates; but the tough, incremental, and deeply embedded work of grassroots social movements has too often been sublimated under the slogan: ""Think globally; act locally!"" Are transnational activists isolated from domestic social movements, extensions of domestic contention, or bridges between the local and the global? Three problems in particular will be examined: First, the difficulty of establishing durable transnational coalitions; Second, the problem of bridging the gap between movement protesters and NGO advocates; and, third, that of escaping movement structuration by national cleavages, alignments, and opportunities.",MOBILIZATION,2005,10,,,HUMAN-RIGHTS; GLOBALIZATION; CONSTRUCTION; VIOLENCE; LAW,,32,33,0,7,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,991EW,WOS:000233796100004,13,2.5384614
"Beyeler, M; Kriesi, H","Beyeler, M; Kriesi, H",Transnational protest and the public sphere,"This article explores the impact of protests against economic globalization in the public sphere. The focus is on two periodical events targeted by transnational protests: the m ministerial conferences of the World Trade Organization (WTO) and the annual meetings of the World Economic Forum (WEF). Based on a selection of seven quality newspapers published in different parts of the world, we trace media attention, support of the activists, as well as the broader public debate on economic globalization. We find that starting with Seattle, protest events received extensive media coverage. Media support of the street activists, especially in the case of the anti-WEF protests, is however rather low. Nevertheless, despite the low levels of support that street protesters received, many of their issues obtain wide public support.",MOBILIZATION,2005,10,,,GLOBALIZATION; MEDIA,,19,19,0,3,"SAN DIEGO STATE UNIV, DEPT SOCIOLOGY",SAN DIEGO,"5500 CAMPANILE DR, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,991EW,WOS:000233796100006,13,1.4615384
"Staggenborg, S; Taylor, V","Staggenborg, S; Taylor, V",Whatever happened to the women's movement?,"Analyses of the women's movement that focus on its ""waves"" and theories of social movements that focus on contentious politics have encouraged the view that the women's movement is in decline. Employing alternative perspectives on social movements, we show that the women's movement continues to thrive. This is evidenced by organizational maintenance and growth, including the international expansion of women's movement organizations; feminism within institutions and other social movements; the spread of feminist culture and collective identity; and the variety of the movement's tactical repertoires. Moreover, the movement remains capable of contentious collective action. We argue for research based on broader conceptions of social movements as well as the contentious politics approach.",MOBILIZATION,2005,10,,,SOCIAL-MOVEMENT; FEMINISM; ORGANIZATIONS; ACTIVISM; CULTURE,,57,57,1,18,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,991EW,WOS:000233796100003,13,4.3846154
